Ticker,Asset,Feature,Importance
AAPL,Apple,Return_Lag1,0.11685835720453691
AAPL,Apple,Return_Lag2,0.06032449428922252
AAPL,Apple,Return_Lag3,0.03873154636158072
AAPL,Apple,Return_Lag5,0.07705417657646277
AAPL,Apple,Return_Lag10,0.043803868641669325
AAPL,Apple,Return_Lag21,0.028259207948882998
AAPL,Apple,Squared_Return_Lag1,0.08154563425920883
AAPL,Apple,Squared_Return_Lag2,0.0401992420884399
AAPL,Apple,Squared_Return_Lag3,0.044280595126416536
AAPL,Apple,Squared_Return_Lag5,0.0680236763043172
AAPL,Apple,Squared_Return_Lag10,0.037276476690368016
AAPL,Apple,Squared_Return_Lag21,0.03571440735121672
AAPL,Apple,Rolling_Vol_5,0.08484674745183055
AAPL,Apple,Rolling_Vol_10,0.10676429482729828
AAPL,Apple,Rolling_Vol_21,0.08836708566794729
AAPL,Apple,Rolling_Vol_63,0.047950189210601325
JNJ,Johnson & Johnson,Return_Lag1,0.04525228143024349
JNJ,Johnson & Johnson,Return_Lag2,0.008383368566498564
JNJ,Johnson & Johnson,Return_Lag3,0.025974874416616514
JNJ,Johnson & Johnson,Return_Lag5,0.015424446073269473
JNJ,Johnson & Johnson,Return_Lag10,0.008888337458866163
JNJ,Johnson & Johnson,Return_Lag21,0.004584799036557091
JNJ,Johnson & Johnson,Squared_Return_Lag1,0.02299056642662116
JNJ,Johnson & Johnson,Squared_Return_Lag2,0.0708367636516673
JNJ,Johnson & Johnson,Squared_Return_Lag3,0.0209193820468215
JNJ,Johnson & Johnson,Squared_Return_Lag5,0.056037589881262215
JNJ,Johnson & Johnson,Squared_Return_Lag10,0.005023394671023718
JNJ,Johnson & Johnson,Squared_Return_Lag21,0.005872565788491156
JNJ,Johnson & Johnson,Rolling_Vol_5,0.2518652946600823
JNJ,Johnson & Johnson,Rolling_Vol_10,0.38663087811546765
JNJ,Johnson & Johnson,Rolling_Vol_21,0.059756384097989924
