Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Ticker,Asset
2010-06-29,7.661951065063477,9.14892864227295,0.0,9.442500114440918,9.08214282989502,9.432856559753418,0.0,1133344800,AAPL,Apple
2010-06-30,7.523168087005615,8.983214378356934,0.0,9.213213920593262,8.928929328918457,9.168213844299316,0.0,739452000,AAPL,Apple
2010-07-01,7.431944370269775,8.874285697937012,0.0,9.100000381469727,8.686429023742676,9.08214282989502,0.0,1022896000,AAPL,Apple
2010-07-02,7.385883808135986,8.819286346435547,0.0,8.961786270141602,8.685713768005371,8.946070671081543,0.0,693842800,AAPL,Apple
2010-07-06,7.436432361602783,8.879643440246582,0.0,9.028571128845215,8.791428565979004,8.964285850524902,0.0,615235600,AAPL,Apple
2010-07-07,7.736724376678467,9.238213539123535,0.0,9.241786003112793,8.91964340209961,8.946070671081543,0.0,654556000,AAPL,Apple
2010-07-08,7.7193756103515625,9.217499732971191,0.0,9.389286041259766,9.103214263916016,9.374285697937012,0.0,738144400,AAPL,Apple
2010-07-09,7.765138149261475,9.272143363952637,0.0,9.282142639160156,9.1128568649292,9.174642562866211,0.0,433322400,AAPL,Apple
2010-07-12,7.695446014404297,9.188928604125977,0.0,9.351785659790039,9.102143287658691,9.233214378356934,0.0,562878400,AAPL,Apple
2010-07-13,7.531247615814209,8.992856979370117,0.0,9.157142639160156,8.801071166992188,9.15428638458252,0.0,1190924000,AAPL,Apple
2010-07-14,7.559059143066406,9.026070594787598,0.0,9.135713577270508,8.89285659790039,8.906429290771484,0.0,812047600,AAPL,Apple
2010-07-15,7.520778656005859,8.98035717010498,0.0,9.177499771118164,8.83214282989502,8.865357398986816,0.0,824866000,AAPL,Apple
2010-07-16,7.474416732788086,8.925000190734863,0.0,9.106071472167969,8.871786117553711,9.042142868041992,0.0,1039858400,AAPL,Apple
2010-07-19,7.345205783843994,8.770713806152344,0.0,8.924285888671875,8.557143211364746,8.924285888671875,0.0,1024478000,AAPL,Apple
2010-07-20,7.533936500549316,8.996070861816406,0.0,9.032142639160156,8.571785926818848,8.675000190734863,0.0,1074950800,AAPL,Apple
2010-07-21,7.6042256355285645,9.079999923706055,0.0,9.469642639160156,9.071429252624512,9.467499732971191,0.0,1185671200,AAPL,Apple
2010-07-22,7.747193813323975,9.250714302062988,0.0,9.285714149475098,9.118213653564453,9.20285701751709,0.0,645318800,AAPL,Apple
2010-07-23,7.774708271026611,9.283571243286133,0.0,9.299285888671875,9.152856826782227,9.181785583496094,0.0,533388800,AAPL,Apple
2010-07-26,7.754970073699951,9.260000228881836,0.0,9.289285659790039,9.20392894744873,9.285714149475098,0.0,420551600,AAPL,Apple
2010-07-27,7.898536682128906,9.431428909301758,0.0,9.45714282989502,9.296428680419922,9.31678581237793,0.0,584771600,AAPL,Apple
2010-07-28,7.805217266082764,9.319999694824219,0.0,9.499643325805664,9.29464340209961,9.416786193847656,0.0,519985200,AAPL,Apple
2010-07-29,7.719973087310791,9.21821403503418,0.0,9.380356788635254,9.146429061889648,9.311071395874023,0.0,643806800,AAPL,Apple
2010-07-30,7.694251537322998,9.1875,0.0,9.274999618530273,9.103570938110352,9.13892936706543,0.0,448210000,AAPL,Apple
2010-08-02,7.83183479309082,9.351785659790039,0.0,9.378213882446289,9.272143363952637,9.30142879486084,0.0,428055600,AAPL,Apple
2010-08-03,7.834230422973633,9.354642868041992,0.0,9.402142524719238,9.265000343322754,9.321785926818848,0.0,417653600,AAPL,Apple
2010-08-04,7.865636348724365,9.392143249511719,0.0,9.438570976257324,9.296786308288574,9.3871431350708,0.0,420375200,AAPL,Apple
2010-08-05,7.827353477478027,9.346428871154785,0.0,9.399286270141602,9.305356979370117,9.34749984741211,0.0,289097200,AAPL,Apple
2010-08-06,7.779194355010986,9.288928985595703,0.0,9.338929176330566,9.201070785522461,9.277856826782227,0.0,444897600,AAPL,Apple
2010-08-09,7.828845024108887,9.348214149475098,0.0,9.362500190734863,9.270357131958008,9.338570594787598,0.0,303128000,AAPL,Apple
2010-08-10,7.758859157562256,9.264642715454102,0.0,9.301786422729492,9.198213577270508,9.280357360839844,0.0,451920000,AAPL,Apple
2010-08-11,7.483088493347168,8.935357093811035,0.0,9.131786346435547,8.921786308288574,9.121429443359375,0.0,620054400,AAPL,Apple
2010-08-12,7.530946254730225,8.992500305175781,0.0,9.039285659790039,8.789999961853027,8.810357093811035,0.0,534920400,AAPL,Apple
2010-08-13,7.450489521026611,8.896429061889648,0.0,8.99571418762207,8.896071434020996,8.987500190734863,0.0,354869200,AAPL,Apple
2010-08-16,7.406822204589844,8.84428596496582,0.0,8.928929328918457,8.807856559753418,8.842143058776855,0.0,318430000,AAPL,Apple
2010-08-17,7.536332130432129,8.998929023742676,0.0,9.093929290771484,8.899999618530273,8.931428909301758,0.0,422640400,AAPL,Apple
2010-08-18,7.569230079650879,9.038213729858398,0.0,9.095356941223145,8.984999656677246,9.012857437133789,0.0,339696000,AAPL,Apple
2010-08-19,7.473816871643066,8.924285888671875,0.0,9.052857398986816,8.881428718566895,9.029999732971191,0.0,426706000,AAPL,Apple
2010-08-20,7.466641426086426,8.915714263916016,0.0,9.068571090698242,8.89285659790039,8.90678596496582,0.0,384230000,AAPL,Apple
2010-08-23,7.351786136627197,8.778571128845215,0.0,9.0,8.758929252624512,8.992500305175781,0.0,414041600,AAPL,Apple
2010-08-24,7.176218032836914,8.568928718566895,0.0,8.678570747375488,8.523214340209961,8.666786193847656,0.0,602565600,AAPL,Apple
2010-08-25,7.264749526977539,8.674642562866211,0.0,8.713929176330566,8.471428871154785,8.501428604125977,0.0,596867600,AAPL,Apple
2010-08-26,7.1866865158081055,8.581428527832031,0.0,8.776785850524902,8.581428527832031,8.766071319580078,0.0,466505200,AAPL,Apple
2010-08-27,7.226764678955078,8.62928581237793,0.0,8.664643287658691,8.412857055664062,8.633929252624512,0.0,548391200,AAPL,Apple
2010-08-30,7.253087043762207,8.660714149475098,0.0,8.776785850524902,8.59571361541748,8.598570823669434,0.0,383289200,AAPL,Apple
2010-08-31,7.271035194396973,8.682143211364746,0.0,8.734286308288574,8.583929061889648,8.637499809265137,0.0,420786800,AAPL,Apple
2010-09-01,7.487277984619141,8.940357208251953,0.0,8.980713844299316,8.795714378356934,8.838213920593262,0.0,697037600,AAPL,Apple
